year,longitude,latitude,where_coordinates,best,deaths_civilians
2017,69.162796,34.531094,Kabul city,11,5
1996,69.1741,35.0159,Chaharikar town,18,0
1996,69.6825,35.432777,Panjsher valley,93,0
1996,69.038889,35.315833,Salang pass,100,0
1996,69.235695,35.118366,Jabalussaraj town,4,0
1995,69.162796,34.531094,Kabul city,17,2
1995,67.75,33.33333,Ghazni province,15,0
1995,68,34.25,Wardak province,80,0
1995,69.99947,35.035862,Dawlat Shah district,7,0
1995,68.972868,35.470933,Khinjan district,22,0
1995,69.6502,34.6125,Dawlatzay village,2,0
1995,69.707238,34.556073,Surobi district,1,0
1995,69.616528,34.505872,Lataband pass,24,0
2002,69.162796,34.531094,Kabul city,15,15
2003,66.328573,31.316991,Adi Ghar mountain,19,0
2003,71.146812,34.87455,Asadabad town,1,0
2003,70.833333,35.3,Nuristan province,1,0
2003,71.155502,35.01647,Asadabad district,1,0
2003,69.469833,33.662636,Kosin area,8,6
2006,70.004791,33.494694,Khulbesat village,7,0
2006,71.314533,35.483273,Kamdesh district,8,0
2006,68.326306,32.252137,Waza Khwa district,3,0
2006,71.356758,35.03315,Asmar town,8,1
2006,69.162796,34.531094,Kabul city,4,2
2006,66.820885,36.692104,Bangala village,4,0
2006,68.75,32.416667,Paktika province,2,0
2008,69.67923,34.797169,Tagab district (Kapisa),3,0
2008,68.668884,33.904587,Salar village,2,0
2008,70.4122,35.2408,Kendar village,8,0
2008,70.4292,35.2515,Shok village,8,0
2008,69.6573,34.8205,Sehpadar village,4,0
2008,69.6683,34.7313,Mir Khail village,5,0
2008,69.892822,34.779888,Uzbin valley,9,0
2008,69.1741,35.0159,Chaharikar town,3,2
2008,69.707238,34.556073,Surobi district,7,0
2009,69.6703,34.7237,Anzeran village,16,0
2009,70.761085,34.290316,Bati Kot district,3,0
2009,68.70388,34.384281,Khanjankhel village,2,0
2009,69.3106,35.002,Sayyad village,7,4
2009,69.306099,34.992119,Sayyad village,7,4
2009,69.8093,33.7634,Madakhel village,2,0
2009,69.987595,33.365097,Kunday village,2,1
2009,69.0524,32.7424,Haybati village,4,0
2009,69,35.75,Baghlan province,3,0
2009,68.6234,36.324882,Baghlani Jadid district,3,0
2010,68.6234,36.324882,Baghlani Jadid district,7,0
2010,69.736866,34.912834,Alasay valley,1,0
2010,69.663383,34.885887,Dawlatkhel village,4,0
2010,70.004791,33.494694,Khulbesat village,2,0
2010,69.811474,34.927257,Alasay district,2,1
2010,70.863598,34.74075,Chawkay district,10,0
2010,71.373837,35.072275,Bar Kunar district (Asmar),5,2
2010,69.688511,34.83779,Badrab valley,3,2
2010,69.660444,34.79114,Tagab valley,1,0
2010,62.065236,32.489324,Pusht Rod district,5,0
2010,71.22524,35.0353,Shaygal wa shiltan district,4,0
2010,70.951996,34.944492,Kandagal village,2,0
2010,70.904108,34.984908,Camp Blessing,1,0
2010,69.265277,34.940555,Bagram airbase,4,0
2010,69.647499,34.854229,Tagab town,2,2
2010,68.811454,35.977542,Karkar mountain,12,0
2010,68.7441,34.3614,Karim Dad village,1,1
2010,69.136935,34.354275,Dasht-e Saqawa mountain,2,0
2010,68.991692,34.048798,Alozai village,1,0
2010,70.84819,34.957298,Rich Alam village,4,0
2010,69.67923,34.797169,Tagab district (Kapisa),7,0
2010,69.162796,34.531094,Kabul city,5,1
2010,71.160194,34.788891,Ganjgal village,13,0
2011,68.70388,34.384281,Khanjankhel village,2,0
2011,70.146752,34.227055,Khogyani district,4,0
2011,70.078491,33.359596,Lakan village,5,4
2011,68.7046,34.3506,Tashlakh Omar Khail village,1,0
2011,71.373837,35.072275,Bar Kunar district (Asmar),3,0
2011,68.762323,34.325691,Nirkh district,4,0
2011,69.889397,33.441994,Loy Mazghar village,1,0
2011,65.250935,34.519516,Chaghcharan (Feroz Koh) town,2,0
2011,68.7441,34.3614,Karim Dad village,5,0
2011,68.8431,34.3838,Dahi Afghanan village,2,0
2011,68.8472,34.2868,Durrani village,2,0
2011,70.164391,34.176594,Pirakhel village,3,0
2011,68.74179,34.36848,Dadil village,2,0
2011,66.876495,36.343258,Sar-i-Asya village,1,0
2011,68.757881,34.085781,Shekhabad village,4,0
2011,66.328573,31.316991,Adi Ghar mountain,2,0
2011,69.022563,35.987508,Nahrin district,1,0
2011,69.8102,33.8044,Nawer Kalay (Chamkanay) town,1,0
2012,69.7021,34.8864,Lakakhel (1) village,2,0
2012,69.928751,34.631821,Badpash sub-district,3,0
2012,68.8484,34.3387,Kashmereyan village,1,0
2012,68.6234,36.324882,Baghlani Jadid district,1,0
2013,69.162796,34.531094,Kabul city,5,2
2013,68.634933,35.989689,Baghe Shamal village,1,0
2013,70.899288,36.736441,Jurm district,7,0
2013,62.5883,32.7506,Farah Rod village,6,6
2013,69.928751,34.631821,Badpash sub-district,4,0
2013,69.265277,34.940555,Bagram airbase,2,0
2013,68.016388,36.265488,Aybak (Samangan) town,2,0
2013,70.159393,34.196796,Wazir village,3,0
2014,66.29611,34.0708,Ishtarlay district,1,0
2014,69.9047,33.5019,Sapera village,1,0
2014,69.347777,34.519722,Pol-e Charkhi prison,3,0
2014,70.87014,34.267105,Bela village,5,0
2016,68.772361,36.037813,Karkar coal mine,1,0
2016,68.715122,35.944583,Puli Khumri town,2,2
1995,67.82502,34.821781,Bamyan town,13,0
1995,67.25,34.75,Bamyan province,8,0
1995,67.73508,34.770377,Foladi valley,11,0
1995,66.384169,35.856469,Sangcharak district,2,0
1995,67.2769,35.9561,Markaz Wolluswali Dahi (Dara-i-Suf) town,7,0
1995,68.865189,36.726131,Kunduz town,10,0
1995,68.3721,36.9864,Qalay-I-Zal town,5,0
1995,66.861089,36.304873,Sholgara district,15,0
1995,68.75,36.75,Kunduz province,29,0
1995,64.83333,36.25,Faryab province,3,0
1995,64.662209,35.75248,Ghal Muri village,3,0
1995,64.931647,35.337118,Kohistan district (Faryab),25,0
1995,65.936469,35.438343,Kohistanat district,4,0
1995,67.666667,36,Samangan province,20,0
1995,69,35.75,Baghlan province,23,0
1995,68.982787,36.471032,Aliabad district,6,0
1995,66.598785,35.453711,Balkhab district,5,0
1995,65,34,Ghor province,12,6
1995,65.739594,35.612198,Qargheto village,2,0
1995,65.7811,35.654,Kushkak village,2,0
1995,65.685799,35.54879,Khamideh village,1,0
1995,67.351702,35.8635,Dara-I- Suf district,7,0
1995,67.5109,35.819,Kham Hawz village,4,0
1995,67.3107,36.0723,Balghaly (1) village,3,0
1995,67.462421,35.651764,Dasht-e Qabr-e Afghan locality,3,0
1995,67.527342,35.591083,Ghojortu village,9,0
1995,65.567604,35.547291,Qala Shahr town,24,0
1995,69.651403,35.977897,Khost Wa Firing district,5,0
1995,67.70829,35.830692,Chahrchashma village,4,0
1995,63.329563,35.584191,Murghab town,5,5
1995,63.75,35,Badghis province,24,0
1995,69.231267,35.071964,Salang Valley,2,0
